player_name,player_id,s,club,club_id,match_id,Attacking_corners_headed,Attacking_corners_headed_and_scored,Defending_corners_defended,Defending_corners_errors,Defending_corners_fatal_errors,Attacking_corners_on_pitch,Defending_corners_on_pitch,source_position_file,source_event_file
,180,27,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,0,1,0,6,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
,1311,20,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,0,0,0,10,16,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Naïm Matoug,1505,26,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,0,0,0,6,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
,1801,9,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,0,0,0,10,16,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Gabin Blancquart,1897,33,AWAY,AWAY,6895de25d30fbce99abbae39,1,0,0,2,0,10,16,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Youri Schoonderwaldt,2095,13,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,2,0,0,10,16,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Michael Davis,2096,31,AWAY,AWAY,6895de25d30fbce99abbae39,2,0,0,0,0,6,14,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Thomas Reinders,2097,14,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,2,0,0,10,16,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Philip Heise,2098,16,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,0,0,0,6,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Jorn Triep,2099,10,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,1,1,0,10,16,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Navarone Foor,2100,25,AWAY,AWAY,6895de25d30fbce99abbae39,0,0,0,0,0,6,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Arjen van der Heide,60,26,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,0,0,6,4,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Rowan Besselink,136,3,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,1,0,16,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
,586,5,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,2,0,10,6,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
,1076,1,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,0,0,16,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Teun Gijselhart,1207,8,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,0,0,16,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Ibrahim El Kadiri,1812,11,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,0,0,14,6,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
Reuven Niemeijer,1978,10,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,0,0,16,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
,2081,15,HOME,HOME,6895de25d30fbce99abbae39,0,0,0,0,0,16,10,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsPositions - 2561134.json,C:\Users\20203834\OneDrive\Master Data Science Entrepreneurship\FC Den Bosch - Thesis\Coding\Data\Wedstrijden\All matches\20250808 De Graafschap vs VVV-Venlo SciSportsEvents - 2561134.json
