player_name,player_id,s,club,club_id,match_id,Attacking_corners_headed,Attacking_corners_headed_and_scored,Defending_corners_defended,Defending_corners_errors,Defending_corners_fatal_errors,Attacking_corners_on_pitch,Defending_corners_on_pitch,source_position_file,source_event_file
Anna Vera Knol,2,5,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,1,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Lieske Carleer,3,4,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Leonie Vliek,4,12,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Lynn Groenewegen,9,6,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Danique van Ginkel,10,8,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Alieke Tuin,14,11,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Jaimy Ravensbergen,16,9,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,1,0,3,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Eva Elisabeth Geertruida Oude Elberink,110,14,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,3,4,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Sophie Proost,212,19,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,3,3,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Diede Lemey,294,1,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,1,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Jill Jamie Roord,296,10,AWAY,AWAY,68df12163e27c8d27681c2cc,0,0,0,0,0,5,6,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Nicky Evrard,165,1,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,6,5,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Emma Eliza Frijns,169,25,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,6,5,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Melanie Gerdina Ida Bross,170,5,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,6,5,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Sisca Folkertsma,171,8,HOME,HOME,68df12163e27c8d27681c2cc,1,0,1,0,0,6,5,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Nina Iyobosa Nekpen Nijstad,173,20,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,6,3,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Chimera Ripa,174,10,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,6,5,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Riola Xhemaili,175,7,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,6,5,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Renate Jansen,177,11,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,6,5,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
Lore Jacobs,189,17,HOME,HOME,68df12163e27c8d27681c2cc,0,0,0,0,0,3,3,dataset:68df12163e27c8d27681c2cc/file:68fb55d20a4fc69750f71290,dataset:68df12163e27c8d27681c2cc/file:68ff33890a4fc69750f72c8d
